Date,Open,High,Low,Close,Adj Close,Volume
2008-03-06,132.979995727539,133.220001220703,130.550003051758,131.059997558594,97.6281356811523,247911700
2008-03-07,129.770004272461,131.740005493164,128.580001831055,129.710006713867,96.6225128173828,326434600
2008-03-10,129.839996337891,129.929992675781,127.589996337891,128,95.3487243652344,235683600
2008-03-11,130.720001220703,132.720001220703,128.949996948242,132.600006103516,98.7753219604492,341440600
2008-03-12,132.740005493164,133.770004272461,131.160003662109,131.360000610352,97.8516082763672,229161100
2008-03-13,129.610000610352,132.639999389648,128.600006103516,131.649993896484,98.067626953125,351504200
2008-03-14,132.770004272461,132.809997558594,127.779998779297,129.610000610352,96.5480194091797,484687800
2008-03-17,126.569999694824,129.259994506836,126.069999694824,128.300003051758,95.5721664428711,405311100
2008-03-18,130.619995117188,133.690002441406,129.979995727539,133.630004882813,99.5425567626953,334416600
2008-03-19,134.139999389648,134.649993896484,130.039993286133,130.320007324219,97.076904296875,345971600
2008-03-20,130.050003051758,132.910003662109,129.259994506836,132.080001831055,98.8750228881836,245320700
2008-03-24,133.309997558594,135.809997558594,133.240005493164,134.720001220703,100.85132598877,208977300
2008-03-25,134.860000610352,135.550003051758,133.770004272461,134.850006103516,100.948631286621,192947200
2008-03-26,134.460006713867,135.089996337891,133.110000610352,133.199996948242,99.7134857177734,196934300
2008-03-27,134.199996948242,134.440002441406,132.360000610352,132.779998779297,99.3990478515625,225153200
2008-03-28,132.990005493164,133.360000610352,131.059997558594,131.509994506836,98.4483413696289,180896100
2008-03-31,131.289993286133,132.729995727539,131.089996337891,131.970001220703,98.7926864624023,166692100
2008-04-01,133.610000610352,136.839996337891,133.509994506836,136.610000610352,102.266220092773,254547300
2008-04-02,137.050003051758,137.669998168945,135.979995727539,136.699996948242,102.333572387695,210910800
2008-04-03,135.960006713867,137.440002441406,135.710006713867,137.039993286133,102.588081359863,175884800
2008-04-04,137.119995117188,137.960006713867,136.119995117188,136.889999389648,102.475807189941,204446800
2008-04-07,137.869995117188,138.570007324219,136.740005493164,136.960006713867,102.528182983398,154245500
2008-04-08,136.190002441406,136.919998168945,135.949996948242,136.820007324219,102.423408508301,148937300
2008-04-09,136.610000610352,136.800003051758,134.889999389648,135.830001831055,101.682266235352,195610600
2008-04-10,135.419998168945,136.669998168945,134.899993896484,136.020004272461,101.824478149414,192967800
2008-04-11,134.490005493164,135.119995117188,133.009994506836,133.380004882813,99.8482208251953,222973300
2008-04-14,133.190002441406,133.539993286133,132.550003051758,132.929992675781,99.5113143920898,160522000
2008-04-15,133.580001831055,133.690002441406,132.330001831055,133.240005493164,99.743408203125,172389200
2008-04-16,134.539993286133,136.910003662109,134.520004272461,136.850006103516,102.445869445801,189268900
2008-04-17,136.020004272461,137.25,135.660003662109,137.050003051758,102.595573425293,179665700
2008-04-18,138.940002441406,139.559997558594,138.259994506836,138.479995727539,103.666061401367,218530600
2008-04-21,138.229995727539,138.979995727539,137.850006103516,138.550003051758,103.718490600586,118587400
2008-04-22,138.190002441406,138.309997558594,136.899993896484,137.940002441406,103.261795043945,162166000
2008-04-23,138.089996337891,138.779998779297,137.119995117188,137.720001220703,103.097129821777,193309000
2008-04-24,138.080001831055,139.740005493164,137.039993286133,138.320007324219,103.546279907227,229381300
2008-04-25,139.399993896484,139.889999389648,137.910003662109,139.600006103516,104.504524230957,190788100
2008-04-28,139.880004882813,140.25,139.380004882813,139.630004882813,104.526969909668,105610200
2008-04-29,139.389999389648,139.729995727539,138.610000610352,139.080001831055,104.115242004395,125514100
2008-04-30,139.289993286133,140.589996337891,138.259994506836,138.259994506836,103.501358032227,208395900
2008-05-01,138.380004882813,141.119995117187,138.270004272461,141.119995117187,105.642402648926,187279500
2008-05-02,142.339996337891,142.369995117188,140.559997558594,141.509994506836,105.934341430664,181585500
2008-05-05,141.050003051758,141.610000610352,140.410003662109,140.830001831055,105.425254821777,118504500
2008-05-06,140.020004272461,142.199996948242,139.690002441406,142.050003051758,106.338577270508,179339800
2008-05-07,141.889999389648,142.039993286133,139.130004882813,139.520004272461,104.444580078125,199267300
2008-05-08,139.740005493164,140.320007324219,138.979995727539,139.160003662109,104.175132751465,178321200
2008-05-09,138.600006103516,139.389999389648,138.449996948242,138.899993896484,103.98046875,152588200
2008-05-12,139.25,140.559997558594,138.729995727539,140.460006713867,105.148323059082,147865900
2008-05-13,140.800003051758,140.889999389648,139.729995727539,140.479995727539,105.163284301758,159132200
2008-05-14,141.070007324219,142.199996948242,140.460006713867,140.770004272461,105.380378723145,181910800
2008-05-15,141.039993286133,142.630004882813,140.830001831055,142.529998779297,106.697883605957,166927000
2008-05-16,142.860000610352,142.869995117188,141.610000610352,142.660003662109,106.795234680176,204236800
2008-05-19,142.809997558594,144.300003051758,142.300003051758,143.050003051758,107.087158203125,165664400
2008-05-20,142.270004272461,142.339996337891,141,141.889999389648,106.218788146973,178552100
2008-05-21,141.809997558594,142.119995117188,139,139.490005493164,104.422149658203,252724800
2008-05-22,139.429992675781,140.169998168945,139,139.509994506836,104.437133789063,170820400
2008-05-23,139.050003051758,139.660003662109,137.520004272461,137.639999389648,103.037223815918,181376400
2008-05-27,137.800003051758,139,137.529998779297,138.660003662109,103.800857543945,168322900
2008-05-28,139.169998168945,140,138,139.300003051758,104.279914855957,181288100
2008-05-29,139.130004882813,140.929992675781,139.080001831055,140,104.803939819336,173927200
2008-05-30,140.470001220703,140.740005493164,139.940002441406,140.350006103516,105.065986633301,117362000
2008-06-02,139.830001831055,139.860000610352,138,138.899993896484,103.98046875,181069900
2008-06-03,139.300003051758,139.619995117188,137.229995727539,138.089996337891,103.374092102051,271965700
2008-06-04,137.699996948242,139.160003662109,137.460006713867,138.020004272461,103.321731567383,246637700
2008-06-05,138.580001831055,140.889999389648,138.320007324219,140.779998779297,105.387870788574,237867100
2008-06-06,139.550003051758,139.800003051758,136.220001220703,136.289993286133,102.02661895752,384276300
2008-06-09,136.860000610352,137.5,135.410003662109,136.619995117188,102.273712158203,228263900
2008-06-10,135.669998168945,137.100006103516,135.350006103516,135.940002441406,101.764625549316,260234900
2008-06-11,135.970001220703,136.259994506836,133.929992675781,133.940002441406,100.267456054688,283890100
2008-06-12,134.600006103516,135.869995117188,133.520004272461,134.449996948242,100.649200439453,252791800
2008-06-13,135.169998168945,136.520004272461,134.419998168945,136.149993896484,101.921829223633,244726900
2008-06-16,135.550003051758,136.929992675781,135.460006713867,136.229995727539,101.981712341309,185832500
2008-06-17,137.070007324219,137.119995117188,135.369995117188,135.570007324219,101.487663269043,191707700
2008-06-18,134.690002441406,135.520004272461,133.710006713867,134.25,100.499465942383,265893000
2008-06-19,134.149993896484,135.240005493164,133.5,134.419998168945,100.626777648926,304204900
2008-06-20,132.839996337891,133.089996337891,131.220001220703,131.580001831055,98.993408203125,289275700
2008-06-23,132.089996337891,132.229995727539,131.320007324219,131.449996948242,98.895637512207,165096400
2008-06-24,131.050003051758,132.440002441406,130.190002441406,131.190002441406,98.7000198364258,267300600
2008-06-25,131.720001220703,133.399993896484,131.240005493164,131.809997558594,99.1664733886719,287853900
2008-06-26,130.570007324219,131.419998168945,128.080001831055,128.229995727539,96.4730377197266,297775000
2008-06-27,128.279998779297,128.860000610352,127.040000915527,127.529998779297,95.9464492797852,303423400
2008-06-30,127.889999389648,128.910003662109,127.300003051758,127.980003356934,96.2849884033203,258842600
2008-07-01,126.519996643066,128.470001220703,125.930000305176,128.380004882813,96.5859146118164,388622000
2008-07-02,128.789993286133,129.160003662109,125.949996948242,126.180000305176,94.9307403564453,288064600
2008-07-03,127.110000610352,127.110000610352,124.98999786377,126.309997558594,95.0285873413086,239352500
2008-07-07,126.790000915527,127.339996337891,123.919998168945,125.019996643066,94.0580368041992,372427300
2008-07-08,124.98999786377,127.389999389648,124.199996948242,127.23999786377,95.7282333374024,375973700
2008-07-09,127.5,127.73999786377,124.389999389648,124.790000915527,93.8850021362305,336729400
2008-07-10,124.430000305176,125.790000915527,123.580001831055,125.300003051758,94.2686920166016,436475700
2008-07-11,123.970001220703,125.900001525879,122.48999786377,123.839996337891,93.1702880859375,481124600
2008-07-14,125.26000213623,125.5,122.400001525879,122.720001220703,92.3276596069336,322720800
2008-07-15,121.800003051758,123.48999786377,120.019996643066,120.98999786377,91.0260848999024,502502500
